timestamp,tweet_text,username,all_hashtags,followers_count
2020-06-02 18:50:10,b'Start unfollowing these influencers #BlackLivesMatter #BlackOutDay2020 #BlackOutTuesday https://t.co/wYtj6j5YWZ',b'nivanacampos',"['BlackLivesMatter', 'BlackOutDay2020', 'BlackOutTuesday']",29
2020-06-02 18:50:09,"b'Christ and racism don\'t mix.  You can\'t say ""I LOVE GOD"" and hate his CREATION.  #BlackLivesMatter'",b'iKONIC_Julie',['BlackLivesMatter'],203
2020-06-02 18:50:09,b'Say no to racism\xe2\x9d\x8c\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #Blacklivesmatter  #BlackOutTuesday https://t.co/QJfSLWkwX4',b'abdulalmau',"['Blacklivesmatter', 'BlackOutTuesday']",858
2020-06-02 18:50:09,b'Now @realDonaldTrump and @SecPompeo  are talking about racism and the violation of black rights in the United States by North Korea and Russia. #USAonFire  #BlackLivesMatter  #TrumpDictatorship  #BunkerBoy https://t.co/ZfgD0s6VFB',b'mahvmuh',"['USAonFire', 'BlackLivesMatter', 'TrumpDictatorship', 'BunkerBoy']",504
2020-06-02 18:50:09,"b""If yu don't  support  the  Blacklivesmatter movement, then we are nt nor will we ever  be frnds and l mean this in most disrespectful way possible \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbf  #BlackLivesMattter #BlackLivesMatter""",b'K_i_n_g_728',"['BlackLivesMattter', 'BlackLivesMatter']",2
2020-06-02 18:50:09,"b""France, Very hard to evaluate the number of people in the protest, but it's probably around 20.000 to 70.000. Which is pretty huge for Paris and for a protest forbidden by the administration and organized in only one day.   #BlackLivesMatter #blackoutday #blackouttueday https://t.co/t5R51eAK73""",b'FarhangNamdar',"['BlackLivesMatter', 'blackoutday', 'blackouttueday']",25655
2020-06-02 18:50:09,b'Let this video lighten up your TL \xe2\x9d\xa4\xef\xb8\x8f  #BlackLivesMatter\xc2\xa0\xc2\xa0 #JusticeForGeorgeFloyd https://t.co/5X4s87w9JX',b'UtdAidan',"['BlackLivesMatter', 'JusticeForGeorgeFloyd']",25519
2020-06-02 18:50:09,b'British Media &amp; #BlackLivesMatter   #MeghanMarkle guest edited #BritishVogue &amp; this is what white #CamillaTominey wrote about it! (Btw that journalist has #KateMiddleton Phone no. Coincidence?\xf0\x9f\x99\x83) #racismUK #KarenGoneWild  #KarenMiddleton https://t.co/3nneRHaBG2',b'FactsDos',"['BlackLivesMatter', 'MeghanMarkle', 'BritishVogue', 'CamillaTominey', 'KateMiddleton', 'racismUK', 'KarenGoneWild', 'KarenMiddleton']",1032
2020-06-02 18:50:09,b'I have a vice with @YourAnonCentral . #AnonymousVsConvoy #Anonymous #BlackLivesMatter',b'SILVER_G16',"['AnonymousVsConvoy', 'Anonymous', 'BlackLivesMatter']",23
2020-06-02 18:50:09,"b'Being a person with naturally light skin tone what hurts me the most is that  I have had people asking me "" how can we get a lighter skin tone?  "" some people really need to accept themselves and I hope this movement brings thia change.  #BlackLivesMatter #GeorgeFloyd #Justice'",b'Arrrey_bc',"['BlackLivesMatter', 'GeorgeFloyd', 'Justice']",1
2020-06-02 18:50:09,b'For the sake of all African Americans living in this country. #BlackoutTuesday #BlackLivesMatter https://t.co/vBNXbn4cdd',b'AutiWiiU',"['BlackoutTuesday', 'BlackLivesMatter']",51
2020-06-02 18:50:09,"b""#blacklivesmatter also don't post the black square there are still 3 more police officers out there who have not been charged with this murder https://t.co/PAE51VFJZM""",b'6475Dayday',['blacklivesmatter'],1
2020-06-02 18:50:08,b'The fucking audacity of these white girls talking about #BlackLivesMatter whilst still doing blackface https://t.co/DpAuFbwTSp',b'pkleii',['BlackLivesMatter'],399
2020-06-02 18:50:08,b'I am a member of #ReleaseTheSnyderCut community and I believe that #BlackLivesMatter',b'JefferyWarfiel2',"['ReleaseTheSnyderCut', 'BlackLivesMatter']",320
2020-06-02 18:50:08,b'this is disgusting. Do your thing twitter  #blacklivesmatter #JusticeForGeorgeFloyd https://t.co/OdFrsopfFS',b'Katherin3Hardin',"['blacklivesmatter', 'JusticeForGeorgeFloyd']",153
2020-06-02 18:50:08,b'We\xe2\x80\x99re going live in around 10 minutes!  Any viewers welcome!  It\xe2\x80\x99s the #BlackLivesMatter games between @OrangeBoysCHEL and Crimson Panthers   Both teams wearing a changed strip for their home games   @Teal_Reel @Madhatterjokerr   https://t.co/lCosh5ZguM',b'SteelThePuckTV',['BlackLivesMatter'],421
2020-06-02 18:50:08,b'Say it ain\xe2\x80\x99t so.... @NaomiCampbell   #Anonymous #BlackLivesMatter\xc2\xa0 #JusticeForGeorgeFloyd #blackoutday #muted https://t.co/X4ElgIKDOY',b'djrichyrich2100',"['Anonymous', 'BlackLivesMatter', 'JusticeForGeorgeFloyd', 'blackoutday', 'muted']",20
2020-06-02 18:50:08,b'@MBuhari Nice #BlackLivesMatter',b'wallet2010',['BlackLivesMatter'],374
2020-06-02 18:50:08,b'Trump has got to be the stupidest mf alive ! If haven\xe2\x80\x99t seen y\xe2\x80\x99all lost y\xe2\x80\x99all have ! The people of the United nates tired of this shit and We stand ! We stand together!!#BlackLivesMatter',b'money_changes',['BlackLivesMatter'],2
